Age_;Gender_;Continent_;self_employed;family_history;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence;treatment
18|-28;M;Europe;No;No;Often;jun/25;No;Yes;No;Not sure;No;No;Don t know;Somewhat difficult;Yes;Maybe;No;Some of them;No;No;No;No;No
18|-28;M;Eurasia;No;No;NA;26-100;Yes;Yes;Yes;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;Yes;Yes;Don t know;No;No
18|-28;M;North America;No;No;Rarely;01/mai;Yes;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;No;No;No;Don t know;No;Yes
18|-28;M;North America;No;No;Sometimes;jun/25;No;Yes;Don t know;No;No;Don t know;Don t know;Don t know;Yes;No;No;No;No;Maybe;Don t know;No;Yes
18|-28;M;North America;No;No;Never;26-100;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Very easy;No;No;Some of them;Some of them;No;Maybe;Yes;No;No
18|-28;M;Europe;No;No;NA;500-1000;Yes;No;Don t know;No;No;Don t know;Don t know;Very easy;Yes;No;No;No;No;Maybe;Don t know;No;No
18|-28;F;Europe;No;Yes;Sometimes;01/mai;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don t know;No;Yes
18|-28;M;Europe;No;No;NA;01/mai;No;Yes;No;Yes;No;No;No;Somewhat difficult;Yes;No;No;No;No;Maybe;No;No;No
18|-28;M;Europe;No;No;Sometimes;jun/25;No;Yes;Don t know;No;No;No;Don t know;Somewhat easy;Yes;Yes;Some of them;No;No;No;Don t know;No;Yes
18|-28;M;North America;Yes;Yes;NA;01/mai;Yes;Yes;Don t know;Not sure;No;Yes;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don t know;No;No
18|-28;M;North America;No;Yes;Sometimes;01/mai;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;Maybe;Some of them;No;No;Maybe;Don t know;No;Yes
18|-28;F;North America;No;Yes;Often;26-100;No;No;Don t know;Not sure;No;No;Don t know;Somewhat difficult;Maybe;Maybe;No;No;No;Maybe;No;No;Yes
18|-28;M;North America;No;No;Sometimes;26-100;No;Yes;Don t know;Not sure;No;No;Don t know;Somewhat difficult;No;No;Some of them;Yes;No;Yes;Don t know;No;Yes
18|-28;M;Europe;No;No;NA;jun/25;No;Yes;Yes;No;No;Yes;Don t know;Very easy;No;No;Yes;Yes;No;No;Yes;No;No
18|-28;M;North America;No;No;Never;26-100;Yes;Yes;Don t know;No;No;No;Don t know;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;No;No;No
18|-28;M;North America;No;No;Sometimes;01/mai;No;Yes;Don t know;Not sure;No;No;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Maybe;Don t know;No;No
18|-28;M;Australia;No;No;NA;100-500;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Yes;Very easy;No;No;Some of them;Yes;No;No;Don t know;No;No
18|-28;F;Europe;No;No;Rarely;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;Yes;No;No
18|-28;M;North America;No;No;Never;26-100;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;No
18|-28;M;India;No;No;Sometimes;26-100;No;Yes;Don t know;No;No;No;Don t know;Don t know;Yes;No;No;No;No;Maybe;Yes;No;Yes
18|-28;F;North America;No;No;Sometimes;26-100;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;No;No;Some of them;Some of them;Maybe;Maybe;Don t know;No;Yes
