Timestamp;Age_;Age;Gender_;Gender;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence;comments
27/08/2014 11:43;18|-28;18;M;Male;Netherlands;NA;No;No;No;Often;6-25;No;Yes;No;Not sure;No;No;Don't know;Somewhat difficult;Yes;Maybe;No;Some of them;No;No;No;No;NA
27/08/2014 12:15;18|-28;18;M;something kinda male?;Russia;NA;No;No;No;NA;26-100;Yes;Yes;Yes;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;Yes;Yes;Don't know;No;In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.
27/08/2014 12:31;18|-28;18;M;Male;United States;CT;No;No;Yes;Rarely;1-5;Yes;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;No;No;No;Don't know;No;NA
27/08/2014 14:10;18|-28;18;M;male;United States;TX;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Yes;No;No;No;No;Maybe;Don't know;No;NA
27/08/2014 14:11;18|-28;18;M;Male;United States;WA;No;No;No;Never;26-100;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Very easy;No;No;Some of them;Some of them;No;Maybe;Yes;No;NA
27/08/2014 16:16;18|-28;18;M;male;Finland;NA;No;No;No;NA;500-1000;Yes;No;Don't know;No;No;Don't know;Don't know;Very easy;Yes;No;No;No;No;Maybe;Don't know;No;NA
27/08/2014 16:19;18|-28;18;F;Female;United Kingdom;NA;No;Yes;Yes;Sometimes;1-5;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No;I don't have a job :D
27/08/2014 11:57;18|-28;19;M;Male;United Kingdom;NA;No;No;No;NA;1-5;No;Yes;No;Yes;No;No;No;Somewhat difficult;Yes;No;No;No;No;Maybe;No;No;NA
27/08/2014 12:34;18|-28;19;M;male;Slovenia;NA;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;No;No;No;Don't know;Somewhat easy;Yes;Yes;Some of them;No;No;No;Don't know;No;NA
27/08/2014 12:40;18|-28;19;M;Male;Canada;NA;Yes;Yes;No;NA;1-5;Yes;Yes;Don't know;Not sure;No;Yes;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don't know;No;NA
27/08/2014 22:07;18|-28;19;M;Male;Canada;NA;No;Yes;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;Maybe;Don't know;No;NA
28/08/2014 09:02;18|-28;19;F;Trans woman;United States;MO;No;Yes;Yes;Often;26-100;No;No;Don't know;Not sure;No;No;Don't know;Somewhat difficult;Maybe;Maybe;No;No;No;Maybe;No;No;NA
28/08/2014 11:15;18|-28;19;M;Male;Canada;NA;No;No;Yes;Sometimes;26-100;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat difficult;No;No;Some of them;Yes;No;Yes;Don't know;No;NA
29/08/2014 09:13;18|-28;19;M;Male;United Kingdom;NA;No;No;No;NA;6-25;No;Yes;Yes;No;No;Yes;Don't know;Very easy;No;No;Yes;Yes;No;No;Yes;No;NA
29/08/2014 10:05;18|-28;19;M;M;Canada;NA;No;No;No;Never;26-100;Yes;Yes;Don't know;No;No;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;No;No;NA
29/08/2014 10:30;18|-28;19;M;Male;United States;IN;No;No;No;Sometimes;1-5;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No;NA
27/08/2014 15:40;18|-28;20;M;Male;Australia;NA;No;No;No;NA;100-500;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Yes;Very easy;No;No;Some of them;Yes;No;No;Don't know;No;NA
28/08/2014 05:05;18|-28;20;F;F;Switzerland;NA;No;No;No;Rarely;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;Yes;No;NA
28/08/2014 15:32;18|-28;20;M;Male;United States;WA;No;No;No;Never;26-100;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Yes;No;NA
29/08/2014 09:15;18|-28;20;M;Male;India;NA;No;No;Yes;Sometimes;26-100;No;Yes;Don't know;No;No;No;Don't know;Don't know;Yes;No;No;No;No;Maybe;Yes;No;NA
30/08/2014 20:46;18|-28;20;F;female;United States;NY;No;No;Yes;Sometimes;26-100;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Some of them;Maybe;Maybe;Don't know;No;NA
14/09/2014 09:04;18|-28;20;M;Male;Georgia;NA;No;No;No;Rarely;26-100;No;No;No;No;No;No;Don't know;Very difficult;Yes;Yes;Some of them;No;No;Maybe;No;No;NA
27/08/2014 12:31;18|-28;21;M;Male;United Kingdom;NA;Yes;No;No;Often;1-5;Yes;No;No;Yes;No;No;Yes;Very difficult;Yes;No;Some of them;Yes;No;Maybe;No;No;NA
27/08/2014 13:03;18|-28;21;M;Male;Canada;NA;No;No;Yes;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Don't know;Somewhat difficult;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No;NA
27/08/2014 13:35;18|-28;21;M;Male;United States;KY;No;No;Yes;Often;6-25;No;No;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;No;No;No;Maybe;Don't know;No;NA
27/08/2014 15:14;18|-28;21;M;Male;United States;IN;No;Yes;Yes;Rarely;100-500;No;Yes;Yes;No;No;Don't know;Yes;Don't know;No;No;Yes;Yes;Maybe;Maybe;Don't know;No;NA
27/08/2014 15:15;18|-28;21;M;Male;United Kingdom;NA;No;No;Yes;Sometimes;6-25;No;No;Don't know;Not sure;No;No;No;Very easy;Yes;No;Some of them;No;No;Maybe;No;No;NA
27/08/2014 15:22;18|-28;21;F;F;United States;CA;No;Yes;Yes;Rarely;26-100;No;Yes;Don't know;Not sure;Don't know;No;Don't know;Somewhat easy;Yes;No;Some of them;No;No;Yes;Don't know;No;NA
27/08/2014 15:29;18|-28;21;M;male;United States;MA;No;Yes;No;Never;More than 1000;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Some of them;No;Maybe;Don't know;Yes;NA
27/08/2014 15:34;18|-28;21;M;M;United States;CA;No;No;No;Sometimes;6-25;No;No;Don't know;Not sure;No;Yes;Yes;Don't know;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No;NA
27/08/2014 17:47;18|-28;21;M;Male;Canada;NA;No;No;No;Never;26-100;No;Yes;Don't know;Not sure;Don't know;No;Don't know;Don't know;Yes;Maybe;No;No;No;Maybe;Don't know;No;NA
27/08/2014 18:22;18|-28;21;M;M;United States;CA;No;Yes;No;NA;More than 1000;No;Yes;Yes;Yes;Yes;Yes;Yes;Don't know;No;No;Some of them;Yes;No;Maybe;Yes;No;NA
27/08/2014 18:56;18|-28;21;Outro;Agender;United Kingdom;NA;No;No;Yes;Sometimes;26-100;No;Yes;No;Yes;Yes;No;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;No;Yes;No;NA
28/08/2014 09:16;18|-28;21;F;Female;United Kingdom;NA;No;No;No;NA;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Yes;Maybe;Some of them;No;No;No;Don't know;No;NA
