Timestamp;Age_;Age;Gender_;Gender;Continent_;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence
27/08/2014 11:43;18|-28;18;M;Male;Europe;Netherlands;NA;No;No;No;Often;6-25;No;Yes;No;Not sure;No;No;Don t know;Somewhat difficult;Yes;Maybe;No;Some of them;No;No;No;No
27/08/2014 12:15;18|-28;18;M;something kinda male?;Eurasia;Russia;NA;No;No;No;NA;26-100;Yes;Yes;Yes;Yes;No;No;Yes;Somewhat easy;No;No;Yes;Yes;Yes;Yes;Don t know;No
27/08/2014 12:31;18|-28;18;M;Male;North America;United States;CT;No;No;Yes;Rarely;1-5;Yes;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;No;No;No;Don t know;No
27/08/2014 14:10;18|-28;18;M;male;North America;United States;TX;No;No;Yes;Sometimes;6-25;No;Yes;Don t know;No;No;Don t know;Don t know;Don t know;Yes;No;No;No;No;Maybe;Don t know;No
27/08/2014 14:11;18|-28;18;M;Male;North America;United States;WA;No;No;No;Never;26-100;No;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Very easy;No;No;Some of them;Some of them;No;Maybe;Yes;No
27/08/2014 16:16;18|-28;18;M;male;Europe;Finland;NA;No;No;No;NA;500-1000;Yes;No;Don t know;No;No;Don t know;Don t know;Very easy;Yes;No;No;No;No;Maybe;Don t know;No
27/08/2014 16:19;18|-28;18;F;Female;Europe;United Kingdom;NA;No;Yes;Yes;Sometimes;1-5;Yes;Yes;Don t know;Not sure;Don t know;Don t know;Don t know;Don t know;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don t know;No
27/08/2014 11:57;18|-28;19;M;Male;Europe;United Kingdom;NA;No;No;No;NA;1-5;No;Yes;No;Yes;No;No;No;Somewhat difficult;Yes;No;No;No;No;Maybe;No;No
27/08/2014 12:34;18|-28;19;M;male;Europe;Slovenia;NA;No;No;Yes;Sometimes;6-25;No;Yes;Don t know;No;No;No;Don t know;Somewhat easy;Yes;Yes;Some of them;No;No;No;Don t know;No
27/08/2014 12:40;18|-28;19;M;Male;North America;Canada;NA;Yes;Yes;No;NA;1-5;Yes;Yes;Don t know;Not sure;No;Yes;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don t know;No
27/08/2014 22:07;18|-28;19;M;Male;North America;Canada;NA;No;Yes;Yes;Sometimes;1-5;No;Yes;No;No;No;No;Don t know;Don t know;Maybe;Maybe;Some of them;No;No;Maybe;Don t know;No
28/08/2014 09:02;18|-28;19;F;Trans woman;North America;United States;MO;No;Yes;Yes;Often;26-100;No;No;Don t know;Not sure;No;No;Don t know;Somewhat difficult;Maybe;Maybe;No;No;No;Maybe;No;No
28/08/2014 11:15;18|-28;19;M;Male;North America;Canada;NA;No;No;Yes;Sometimes;26-100;No;Yes;Don t know;Not sure;No;No;Don t know;Somewhat difficult;No;No;Some of them;Yes;No;Yes;Don t know;No
